//Tress on left side
0,0
0,1
0,2
0,3
0,4
0,5
//First house
1,0
1,1
1,2
2,0
2,1
3,0
3,1
4,0
4,1
4,2
//Tree Between houses
5,2
//Second house
6,0
6,1
6,2
7,0
7,1
8,0
8,1
9,0
9,1
9,2
//Left Top Bushes
10,0
10,1
10,2
//Right Top Bushes
14,0
14,1
14,2
//Third house
15,0
15,1
15,2
16,0
16,1
17,0
17,1
18,0
18,1
18,2
//Tree Between houses
19,2
//Fourth house
20,0
20,1
20,2
21,0
21,1
22,0
22,1
23,0
23,1
23,2
//Tress on right side
24,0
24,1
24,2
24,3
24,4
24,5
//Middle Building Block
0,6
1,6
2,6
3,6
4,6
5,6
6,6
7,6
8,6
9,6
10,6
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,6
22,6
23,6
24,6
24,7
0,7
16,7
16,8
16,9
16,10
16,11
17,11
18,11
0,8
0,9
0,10
0,11
1,11
2,11
3,11
4,11
5,11
6,11
7,11
8,11
9,11
10,11
11,11
12,11
13,11
14,11
15,11
22,11
23,11
24,11
24,10
0,15
1,15
2,15
3,15
4,15
5,15
6,15
7,15
8,15
9,15
10,15
11,15
12,15
13,15
14,15
15,15
16,15
18,15
19,15
20,15
21,15
22,15
23,15
24,15
0,16
1,16
2,16
3,126
4,16
5,16
6,16
7,16
8,16
9,16
10,16
11,16
12,16
13,16
14,16
15,16
16,16
18,16
19,16
20,16
21,16
22,16
23,16
24,16
0,17
1,17
2,17
3,17
4,17
5,17
6,17
7,17
8,17
9,17
10,17
11,17
12,17
13,17
18,17
19,17
20,17
21,17
22,17
23,17
24,17
0,18
1,18
2,18
3,18
4,18
5,18
6,18
7,18
8,18
9,18
10,18
11,18
12,18
13,18
15,18
16,18
17,18
18,18
19,18
20,18
21,18
22,18
23,18
24,18


